Year,MonthTxt,MonthNum,PeriodTxt,PeriodNum,Value
1950,DJF,1,1950-DJF,1950-01,-0.749
1950,JFM,2,1950-JFM,1950-02,-0.915
1950,FMA,3,1950-FMA,1950-03,-0.823
1950,MAM,4,1950-MAM,1950-04,-0.982
1950,AMJ,5,1950-AMJ,1950-05,-0.878
1950,MJJ,6,1950-MJJ,1950-06,-0.969
1950,JJA,7,1950-JJA,1950-07,-0.913
1950,JAS,8,1950-JAS,1950-08,-0.964
1950,ASO,9,1950-ASO,1950-09,-1.043
1950,SON,10,1950-SON,1950-10,-0.978
1950,OND,11,1950-OND,1950-11,-1.048
1950,NDJ,12,1950-NDJ,1950-12,-0.983
1951,DJF,1,1951-DJF,1951-01,-0.932
1951,JFM,2,1951-JFM,1951-02,-0.842
1951,FMA,3,1951-FMA,1951-03,-0.693
1951,MAM,4,1951-MAM,1951-04,-1.081
1951,AMJ,5,1951-AMJ,1951-05,-0.873
1951,MJJ,6,1951-MJJ,1951-06,-0.656
1951,JJA,7,1951-JJA,1951-07,-0.691
1951,JAS,8,1951-JAS,1951-08,-0.551
1951,ASO,9,1951-ASO,1951-09,-0.365
1951,SON,10,1951-SON,1951-10,-0.502
1951,OND,11,1951-OND,1951-11,-0.426
1951,NDJ,12,1951-NDJ,1951-12,-0.397
1952,DJF,1,1952-DJF,1952-01,-0.548
1952,JFM,2,1952-JFM,1952-02,-0.384
1952,FMA,3,1952-FMA,1952-03,-0.46
1952,MAM,4,1952-MAM,1952-04,-0.443
1952,AMJ,5,1952-AMJ,1952-05,-0.585
1952,MJJ,6,1952-MJJ,1952-06,-0.531
1952,JJA,7,1952-JJA,1952-07,-0.763
1952,JAS,8,1952-JAS,1952-08,-0.818
1952,ASO,9,1952-ASO,1952-09,-0.796
1952,SON,10,1952-SON,1952-10,-0.918
1952,OND,11,1952-OND,1952-11,-0.747
1952,NDJ,12,1952-NDJ,1952-12,-0.614
1953,DJF,1,1953-DJF,1953-01,-0.482
1953,JFM,2,1953-JFM,1953-02,-0.51
1953,FMA,3,1953-FMA,1953-03,-0.354
1953,MAM,4,1953-MAM,1953-04,-0.489
1953,AMJ,5,1953-AMJ,1953-05,-0.365
1953,MJJ,6,1953-MJJ,1953-06,-0.5
1953,JJA,7,1953-JJA,1953-07,-0.715
1953,JAS,8,1953-JAS,1953-08,-0.828
1953,ASO,9,1953-ASO,1953-09,-0.809
1953,SON,10,1953-SON,1953-10,-0.728
1953,OND,11,1953-OND,1953-11,-0.486
1953,NDJ,12,1953-NDJ,1953-12,-0.283
1954,DJF,1,1954-DJF,1954-01,-0.578
1954,JFM,2,1954-JFM,1954-02,-0.484
1954,FMA,3,1954-FMA,1954-03,-0.542
1954,MAM,4,1954-MAM,1954-04,-0.529
1954,AMJ,5,1954-AMJ,1954-05,-0.708
1954,MJJ,6,1954-MJJ,1954-06,-0.842
1954,JJA,7,1954-JJA,1954-07,-1.231
1954,JAS,8,1954-JAS,1954-08,-1.11
1954,ASO,9,1954-ASO,1954-09,-1.145
1954,SON,10,1954-SON,1954-10,-1.322
1954,OND,11,1954-OND,1954-11,-1.019
